frequency,usertype,spend,eatin,clean,variety,quality,location,speed,healthy,price,friendly,hours,type,live,mealplan,gender,class,college,bclean,bvariety,bquality,blocation,bspeed,bhealthy,bprice,bfriendly,bhours,id
1 to 2 times,Light user,$5 to $9,1,4,4,5,4,4,5,5,4,3,Mexican,On-Campus,Yes,Female,Junior,BUSN,1,1,1,1,1,1,1,1,0,1
1 to 2 times,Light user,Less than $5,1,5,1,5,2,2,3,4,3,3,Mexican,Commuter,No,Female,Junior,EDUC,1,0,1,0,0,0,1,0,0,2
0 times,Non-user,$5 to $9,2,4,2,4,4,4,5,4,4,2,Mexican,Off-Campus,No,Female,Senior,EDUC,1,0,1,1,1,1,1,1,0,3
1 to 2 times,Light user,$5 to $9,1,4,4,5,2,5,3,5,4,2,Burgers,On-Campus,Yes,Male,Sophomore,ARTSC,1,1,1,0,1,0,1,1,0,4
3 to 5 times,Heavy User,$10 or more,1,5,4,5,2,5,4,5,4,5,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,1,1,0,1,1,1,1,1,5
1 to 2 times,Light user,$10 or more,7,4,5,4,5,3,1,5,3,5,Mexican,On-Campus,Yes,Female,Freshman,ARTSC,1,1,1,1,0,0,1,0,1,6
3 to 5 times,Heavy User,$5 to $9,2,3,2,2,4,3,2,4,3,5,Mexican,On-Campus,Yes,Female,Freshman,OTH,0,0,0,1,0,0,1,0,1,7
1 to 2 times,Light user,Less than $5,3,5,3,5,3,3,5,3,4,3,Mexican,On-Campus,Yes,Female,Junior,OTH,1,0,1,0,0,1,0,1,0,8
3 to 5 times,Heavy User,Less than $5,4,3,2,3,4,3,1,5,3,3,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,0,0,0,1,0,0,1,0,0,9
1 to 2 times,Light user,$5 to $9,1,5,5,5,5,3,5,5,3,2,Burgers,Off-Campus,No,Female,Senior,OTH,1,1,1,1,0,1,1,0,0,10
1 to 2 times,Light user,$10 or more,3,5,3,3,3,3,3,1,1,3,Mexican,On-Campus,Yes,Female,Junior,BUSN,1,0,0,0,0,0,0,0,0,11
1 to 2 times,Light user,$5 to $9,7,4,4,5,4,4,3,4,4,3,Mexican,Off-Campus,Yes,Female,Senior,ARTSC,1,1,1,1,1,0,1,1,0,12
1 to 2 times,Light user,$5 to $9,1,4,4,5,3,4,4,4,3,4,Mexican,Off-Campus,No,Female,Senior,BUSN,1,1,1,0,1,1,1,0,1,13
1 to 2 times,Light user,$5 to $9,5,4,3,4,3,5,1,4,2,4,Mexican,On-Campus,Yes,Male,Junior,BUSN,1,0,1,0,1,0,1,0,1,14
1 to 2 times,Light user,$5 to $9,5,4,3,3,4,3,2,3,3,3,Burgers,On-Campus,Yes,Male,Sophomore,OTH,1,0,0,1,0,0,0,0,0,15
3 to 5 times,Heavy User,$5 to $9,6,5,4,5,3,4,4,5,3,4,Mexican,Off-Campus,Yes,Female,Junior,EDUC,1,1,1,0,1,1,1,0,1,16
3 to 5 times,Heavy User,$5 to $9,5,2,2,4,4,4,3,3,2,2,Mexican,Commuter,No,Female,Sophomore,EDUC,0,0,1,1,1,0,0,0,0,17
1 to 2 times,Light user,$5 to $9,4,5,3,3,3,5,3,5,5,4,Mexican,On-Campus,Yes,Female,Junior,OTH,1,0,0,0,1,0,1,1,1,18
0 times,Non-user,$5 to $9,4,4,2,3,2,3,3,4,2,2,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,1,0,0,0,0,0,1,0,0,19
0 times,Non-user,$10 or more,1,5,3,4,3,3,5,2,4,2,Sandwiches,On-Campus,Yes,Female,Freshman,OTH,1,0,1,0,0,1,0,1,0,20
0 times,Non-user,$5 to $9,6,4,3,4,5,4,4,3,2,4,Mexican,On-Campus,Yes,Female,Senior,ARTSC,1,0,1,1,1,1,0,0,1,21
1 to 2 times,Light user,$5 to $9,7,3,2,4,1,3,4,4,2,2,Mexican,On-Campus,Yes,Female,Sophomore,ARTSC,0,0,1,0,0,1,1,0,0,22
1 to 2 times,Light user,Less than $5,5,4,4,4,4,4,4,4,4,4,Burgers,On-Campus,Yes,Female,Sophomore,OTH,1,1,1,1,1,1,1,1,1,23
1 to 2 times,Light user,$5 to $9,3,4,3,5,3,3,4,4,4,3,Burgers,On-Campus,Yes,Male,Sophomore,ARTSC,1,0,1,0,0,1,1,1,0,24
0 times,Non-user,$5 to $9,4,4,3,4,2,3,2,4,2,3,Mexican,On-Campus,Yes,Female,Senior,OTH,1,0,1,0,0,0,1,0,0,25
1 to 2 times,Light user,$5 to $9,7,2,4,4,4,5,3,4,3,5,Mexican,Off-Campus,No,Female,Senior,ARTSC,0,1,1,1,1,0,1,0,1,26
3 to 5 times,Heavy User,$5 to $9,2,3,4,4,2,3,2,5,2,3,Mexican,On-Campus,Yes,Male,Sophomore,BUSN,0,1,1,0,0,0,1,0,0,27
0 times,Non-user,$5 to $9,7,3,4,4,4,4,3,5,2,5,Burgers,On-Campus,Yes,Female,Sophomore,EDUC,0,1,1,1,1,0,1,0,1,28
1 to 2 times,Light user,$10 or more,1,2,2,2,5,4,1,4,2,4,Burgers,Off-Campus,No,Male,Senior,BUSN,0,0,0,1,1,0,1,0,1,29
1 to 2 times,Light user,$5 to $9,2,5,3,4,5,5,4,5,3,1,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,0,1,1,1,1,1,0,0,30
3 to 5 times,Heavy User,$10 or more,2,5,5,5,5,5,5,5,5,5,Burgers,Off-Campus,Yes,Female,Sophomore,ARTSC,1,1,1,1,1,1,1,1,1,31
3 to 5 times,Heavy User,$5 to $9,4,3,2,4,3,2,2,4,3,4,Burgers,Off-Campus,No,Male,Senior,BUSN,0,0,1,0,0,0,1,0,1,32
6 to 9 times,Heavy User,$5 to $9,1,4,4,5,2,4,5,4,5,3,Mexican,On-Campus,Yes,Male,Junior,ARTSC,1,1,1,0,1,1,1,1,0,33
1 to 2 times,Light user,$10 or more,7,4,2,5,,3,1,4,5,3,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,1,0,1,,0,0,1,1,0,34
1 to 2 times,Light user,$5 to $9,2,4,3,3,4,4,3,2,4,3,Mexican,On-Campus,Yes,Male,Junior,ARTSC,1,0,0,1,1,0,0,1,0,35
3 to 5 times,Heavy User,$5 to $9,1,5,5,5,5,5,2,5,5,5,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,1,1,1,1,0,1,1,1,36
1 to 2 times,Light user,$5 to $9,7,4,2,4,4,4,5,4,3,5,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,1,0,1,1,1,1,1,0,1,37
1 to 2 times,Light user,$10 or more,4,3,4,4,4,5,3,5,2,4,Burgers,On-Campus,Yes,Female,Junior,EDUC,0,1,1,1,1,0,1,0,1,38
0 times,Non-user,Less than $5,3,4,3,4,5,4,3,4,3,4,Mexican,Off-Campus,No,Female,Senior,EDUC,1,0,1,1,1,0,1,0,1,39
0 times,Non-user,$5 to $9,4,4,3,5,4,3,4,4,2,3,Other,On-Campus,Yes,Female,Junior,BUSN,1,0,1,1,0,1,1,0,0,40
1 to 2 times,Light user,$5 to $9,2,4,4,4,3,3,3,5,5,4,Mexican,On-Campus,Yes,Female,Junior,EDUC,1,1,1,0,0,0,1,1,1,41
1 to 2 times,Light user,$5 to $9,7,5,4,5,3,3,4,5,4,4,Mexican,On-Campus,Yes,Female,Sophomore,BUSN,1,1,1,0,0,1,1,1,1,42
0 times,Non-user,$5 to $9,2,4,4,5,5,5,3,4,2,4,Mexican,On-Campus,Yes,Female,Senior,BUSN,1,1,1,1,1,0,1,0,1,43
1 to 2 times,Light user,$5 to $9,5,4,3,4,3,3,4,3,3,4,Mexican,On-Campus,Yes,Female,Freshman,OTH,1,0,1,0,0,1,0,0,1,44
3 to 5 times,Heavy User,$10 or more,7,5,3,5,5,3,1,3,3,5,Burgers,Off-Campus,No,Female,Senior,BUSN,1,0,1,1,0,0,0,0,1,45
1 to 2 times,Light user,$5 to $9,4,4,4,4,3,3,2,4,3,4,Mexican,Off-Campus,No,Male,Junior,ARTSC,1,1,1,0,0,0,1,0,1,46
1 to 2 times,Light user,$5 to $9,3,4,3,4,4,4,3,5,2,4,Mexican,Off-Campus,No,Female,Senior,OTH,1,0,1,1,1,0,1,0,1,47
1 to 2 times,Light user,$5 to $9,1,5,3,4,3,2,4,4,4,1,Burgers,Off-Campus,No,Male,Senior,OTH,1,0,1,0,0,1,1,1,0,48
0 times,Non-user,$10 or more,2,4,2,3,3,4,2,3,2,4,Mexican,On-Campus,Yes,Female,Junior,OTH,1,0,0,0,1,0,0,0,1,49
1 to 2 times,Light user,$5 to $9,7,5,5,5,5,5,5,5,5,5,Burgers,On-Campus,Yes,Female,Sophomore,OTH,1,1,1,1,1,1,1,1,1,50
1 to 2 times,Light user,$10 or more,7,4,3,4,3,4,2,4,4,3,Mexican,Off-Campus,No,Female,Senior,EDUC,1,0,1,0,1,0,1,1,0,51
1 to 2 times,Light user,$5 to $9,3,4,4,4,5,4,3,4,3,4,Mexican,On-Campus,Yes,Female,Senior,ARTSC,1,1,1,1,1,0,1,0,1,52
1 to 2 times,Light user,$5 to $9,3,5,4,4,4,4,3,5,4,2,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,1,1,1,1,0,1,1,0,53
1 to 2 times,Light user,$10 or more,2,5,3,4,4,2,4,4,3,4,Mexican,On-Campus,Yes,Female,Junior,EDUC,1,0,1,1,0,1,1,0,1,54
1 to 2 times,Light user,$5 to $9,3,5,4,5,5,4,2,4,3,4,Burgers,On-Campus,Yes,Female,Sophomore,BUSN,1,1,1,1,1,0,1,0,1,55
1 to 2 times,Light user,$5 to $9,4,5,1,3,1,5,3,2,4,3,Mexican,Off-Campus,Yes,Female,Senior,ARTSC,1,0,0,0,1,0,0,1,0,56
1 to 2 times,Light user,$5 to $9,4,5,5,5,4,3,3,4,4,5,Burgers,Off-Campus,No,Female,Junior,ARTSC,1,1,1,1,0,0,1,1,1,57
1 to 2 times,Light user,$5 to $9,7,5,4,4,5,5,3,5,3,4,Mexican,Commuter,No,Female,Senior,OTH,1,1,1,1,1,0,1,0,1,58
1 to 2 times,Light user,$5 to $9,4,5,3,4,3,3,4,3,5,2,Mexican,Commuter,No,Female,Freshman,BUSN,1,0,1,0,0,1,0,1,0,59
0 times,Non-user,Less than $5,3,3,3,4,4,3,2,3,3,4,Other,On-Campus,Yes,Female,Sophomore,OTH,0,0,1,1,0,0,0,0,1,60
1 to 2 times,Light user,$5 to $9,4,2,2,4,2,4,2,3,2,2,Mexican,On-Campus,Yes,Female,Sophomore,OTH,0,0,1,0,1,0,0,0,0,61
1 to 2 times,Light user,$5 to $9,1,5,1,4,4,4,1,4,2,4,Mexican,Off-Campus,No,Male,Senior,ARTSC,1,0,1,1,1,0,1,0,1,62
1 to 2 times,Light user,$10 or more,5,4,3,4,2,3,3,3,2,3,Mexican,On-Campus,Yes,Male,Junior,ARTSC,1,0,1,0,0,0,0,0,0,63
1 to 2 times,Light user,$5 to $9,5,5,4,4,3,4,4,4,5,3,Other,Off-Campus,No,Female,Junior,EDUC,1,1,1,0,1,1,1,1,0,64
1 to 2 times,Light user,$5 to $9,6,3,2,3,4,4,2,2,1,3,Mexican,Off-Campus,No,Female,Senior,ARTSC,0,0,0,1,1,0,0,0,0,65
1 to 2 times,Light user,$5 to $9,2,3,3,4,5,3,3,5,2,4,Mexican,On-Campus,Yes,Female,Sophomore,ARTSC,0,0,1,1,0,0,1,0,1,66
0 times,Non-user,$5 to $9,3,4,4,5,5,4,4,5,4,4,Mexican,On-Campus,Yes,Male,Senior,EDUC,1,1,1,1,1,1,1,1,1,67
1 to 2 times,Light user,$5 to $9,6,5,4,3,4,4,3,4,3,4,Other,On-Campus,Yes,Female,Junior,OTH,1,1,0,1,1,0,1,0,1,68
0 times,Non-user,$5 to $9,2,5,5,5,3,3,5,2,3,3,Other,On-Campus,Yes,Female,Sophomore,ARTSC,1,1,1,0,0,1,0,0,0,69
1 to 2 times,Light user,$5 to $9,5,5,3,4,3,3,3,3,4,3,Burgers,Off-Campus,Yes,Male,Senior,ARTSC,1,0,1,0,0,0,0,1,0,70
1 to 2 times,Light user,$5 to $9,7,5,3,5,3,4,4,4,4,4,Mexican,Commuter,No,Female,Junior,BUSN,1,0,1,0,1,1,1,1,1,71
3 to 5 times,Heavy User,$5 to $9,2,5,4,5,2,4,4,3,3,3,Mexican,Commuter,No,Female,Junior,BUSN,1,1,1,0,1,1,0,0,0,72
1 to 2 times,Light user,Less than $5,2,4,4,4,4,4,3,4,3,3,Mexican,Off-Campus,No,Female,Senior,EDUC,1,1,1,1,1,0,1,0,0,73
0 times,Non-user,Less than $5,3,4,3,3,2,3,3,3,4,2,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,0,0,0,0,0,0,1,0,74
1 to 2 times,Light user,$10 or more,6,4,3,4,4,4,3,4,4,3,Mexican,Off-Campus,No,Female,Senior,OTH,1,0,1,1,1,0,1,1,0,75
1 to 2 times,Light user,$5 to $9,4,3,2,4,5,5,3,4,2,3,Mexican,Off-Campus,No,Female,Senior,OTH,0,0,1,1,1,0,1,0,0,76
1 to 2 times,Light user,$5 to $9,6,3,3,3,4,4,2,2,3,2,Mexican,Off-Campus,No,Female,Senior,BUSN,0,0,0,1,1,0,0,0,0,77
3 to 5 times,Heavy User,$10 or more,1,4,4,4,1,4,4,4,4,3,Mexican,Commuter,No,Female,Junior,OTH,1,1,1,0,1,1,1,1,0,78
1 to 2 times,Light user,$5 to $9,4,2,3,2,2,2,3,3,1,3,Mexican,On-Campus,Yes,Male,Junior,EDUC,0,0,0,0,0,0,0,0,0,79
1 to 2 times,Light user,Less than $5,6,4,3,4,4,4,3,4,3,3,Mexican,On-Campus,Yes,Female,Junior,ARTSC,1,0,1,1,1,0,1,0,0,80
0 times,Non-user,$5 to $9,4,4,3,4,5,2,3,5,3,4,Burgers,On-Campus,Yes,Female,Junior,EDUC,1,0,1,1,0,0,1,0,1,81
1 to 2 times,Light user,$5 to $9,6,2,2,3,2,2,2,4,1,1,Burgers,Off-Campus,No,Male,Senior,BUSN,0,0,0,0,0,0,1,0,0,82
1 to 2 times,Light user,$5 to $9,4,5,5,5,3,4,3,5,4,4,Mexican,On-Campus,Yes,Female,Junior,OTH,1,1,1,0,1,0,1,1,1,83
1 to 2 times,Light user,$5 to $9,6,5,3,4,2,4,3,4,2,4,Mexican,Commuter,No,Female,Senior,ARTSC,1,0,1,0,1,0,1,0,1,84
3 to 5 times,Heavy User,$10 or more,7,5,3,5,3,4,2,4,4,4,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,1,0,1,0,1,0,1,1,1,85
3 to 5 times,Heavy User,$10 or more,3,4,3,4,4,3,3,3,3,3,Mexican,Off-Campus,No,Male,Senior,BUSN,1,0,1,1,0,0,0,0,0,86
1 to 2 times,Light user,Less than $5,7,2,4,4,3,3,2,5,2,2,Mexican,Off-Campus,No,Female,Senior,BUSN,0,1,1,0,0,0,1,0,0,87
1 to 2 times,Light user,$5 to $9,1,4,3,5,3,3,2,3,3,2,Mexican,Off-Campus,Yes,Female,Senior,ARTSC,1,0,1,0,0,0,0,0,0,88
1 to 2 times,Light user,$5 to $9,1,5,4,4,4,4,3,4,3,4,Mexican,On-Campus,Yes,Female,Senior,OTH,1,1,1,1,1,0,1,0,1,89
1 to 2 times,Light user,$10 or more,1,4,3,5,2,3,4,2,4,3,Mexican,Off-Campus,No,Female,Senior,OTH,1,0,1,0,0,1,0,1,0,90
1 to 2 times,Light user,$10 or more,6,5,5,5,5,5,5,5,5,5,Mexican,On-Campus,Yes,Female,Sophomore,ARTSC,1,1,1,1,1,1,1,1,1,91
1 to 2 times,Light user,$5 to $9,5,3,2,4,5,4,3,3,2,4,Mexican,Commuter,No,Male,Senior,EDUC,0,0,1,1,1,0,0,0,1,92
3 to 5 times,Heavy User,$5 to $9,1,4,3,4,3,3,3,5,4,2,Mexican,Commuter,No,Female,Senior,OTH,1,0,1,0,0,0,1,1,0,93
1 to 2 times,Light user,$5 to $9,6,3,3,4,4,5,4,3,3,4,Mexican,Off-Campus,No,Female,Senior,BUSN,0,0,1,1,1,1,0,0,1,94
0 times,Non-user,Less than $5,1,5,4,5,5,5,5,4,5,4,Mexican,On-Campus,Yes,Female,Junior,OTH,1,1,1,1,1,1,1,1,1,95
1 to 2 times,Light user,$10 or more,6,5,3,4,4,3,4,4,3,3,Mexican,Commuter,Yes,Female,Senior,EDUC,1,0,1,1,0,1,1,0,0,96
1 to 2 times,Light user,$10 or more,3,5,5,5,5,5,3,5,5,5,Mexican,On-Campus,Yes,Male,Junior,OTH,1,1,1,1,1,0,1,1,1,97
1 to 2 times,Light user,$5 to $9,4,5,3,4,3,3,3,3,4,3,Mexican,On-Campus,Yes,Female,Sophomore,BUSN,1,0,1,0,0,0,0,1,0,98
1 to 2 times,Light user,$5 to $9,1,5,4,5,5,4,5,5,5,5,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,1,1,1,1,1,1,1,1,1,99
1 to 2 times,Light user,$5 to $9,3,3,4,3,4,3,3,4,3,4,Mexican,On-Campus,Yes,Female,Sophomore,EDUC,0,1,0,1,0,0,1,0,1,100
3 to 5 times,Heavy User,$5 to $9,1,3,3,5,4,4,3,4,4,4,Mexican,On-Campus,Yes,Female,Sophomore,OTH,0,0,1,1,1,0,1,1,1,101
0 times,Non-user,Less than $5,2,4,3,5,3,3,3,3,4,4,Mexican,Off-Campus,No,Male,Senior,EDUC,1,0,1,0,0,0,0,1,1,102
1 to 2 times,Light user,Less than $5,6,4,2,4,3,3,2,5,4,3,Burgers,Off-Campus,No,Female,Senior,ARTSC,1,0,1,0,0,0,1,1,0,103
3 to 5 times,Heavy User,$5 to $9,7,5,4,5,5,4,3,4,4,4,Mexican,Off-Campus,No,Female,Junior,OTH,1,1,1,1,1,0,1,1,1,104
0 times,Non-user,$5 to $9,2,5,3,4,4,4,5,4,4,3,Mexican,Off-Campus,Yes,Female,Senior,OTH,1,0,1,1,1,1,1,1,0,105
1 to 2 times,Light user,$5 to $9,3,4,2,4,2,2,1,5,5,4,Burgers,Off-Campus,No,Female,Junior,OTH,1,0,1,0,0,0,1,1,1,106
1 to 2 times,Light user,$10 or more,4,4,4,5,2,5,4,5,5,5,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,1,1,0,1,1,1,1,1,107
1 to 2 times,Light user,$10 or more,6,5,5,5,3,3,4,4,3,4,Mexican,On-Campus,Yes,Female,Sophomore,ARTSC,1,1,1,0,0,1,1,0,1,108
1 to 2 times,Light user,$5 to $9,1,5,5,5,5,5,5,5,5,4,Mexican,On-Campus,Yes,Female,Senior,BUSN,1,1,1,1,1,1,1,1,1,109
1 to 2 times,Light user,$5 to $9,3,3,3,4,3,4,3,4,2,4,Burgers,On-Campus,Yes,Female,Freshman,EDUC,0,0,1,0,1,0,1,0,1,110
3 to 5 times,Heavy User,$5 to $9,7,5,3,4,3,3,1,3,5,3,Mexican,Off-Campus,No,Male,Junior,BUSN,1,0,1,0,0,0,0,1,0,111
3 to 5 times,Heavy User,$5 to $9,5,3,3,3,3,3,2,4,2,5,Mexican,Off-Campus,No,Male,Senior,EDUC,0,0,0,0,0,0,1,0,1,112
3 to 5 times,Heavy User,$5 to $9,2,4,3,3,3,3,2,4,3,2,Burgers,On-Campus,Yes,Female,Senior,OTH,1,0,0,0,0,0,1,0,0,113
3 to 5 times,Heavy User,$5 to $9,5,5,5,4,3,3,5,4,5,4,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,1,1,0,0,1,1,1,1,114
1 to 2 times,Light user,Less than $5,4,4,3,5,3,5,4,4,3,3,Mexican,Commuter,No,Female,Junior,EDUC,1,0,1,0,1,1,1,0,0,115
1 to 2 times,Light user,$5 to $9,7,5,3,5,2,2,3,3,4,1,Burgers,Off-Campus,No,Male,Senior,BUSN,1,0,1,0,0,0,0,1,0,116
1 to 2 times,Light user,$5 to $9,4,5,3,5,5,5,5,5,4,5,Burgers,On-Campus,Yes,Male,Senior,BUSN,1,0,1,1,1,1,1,1,1,117
3 to 5 times,Heavy User,$5 to $9,5,3,2,3,4,3,2,3,3,3,Mexican,Off-Campus,No,Female,Senior,BUSN,0,0,0,1,0,0,0,0,0,118
1 to 2 times,Light user,$5 to $9,7,5,2,1,3,5,1,5,2,5,Burgers,Off-Campus,No,Female,Senior,ARTSC,1,0,0,0,1,0,1,0,1,119
1 to 2 times,Light user,$5 to $9,4,4,3,3,4,5,2,5,4,3,Burgers,Off-Campus,No,Male,Senior,EDUC,1,0,0,1,1,0,1,1,0,120
1 to 2 times,Light user,Less than $5,1,3,3,2,4,2,1,4,1,1,Burgers,On-Campus,Yes,Female,Sophomore,BUSN,0,0,0,1,0,0,1,0,0,121
1 to 2 times,Light user,$10 or more,1,5,5,5,5,3,2,5,5,5,Mexican,On-Campus,Yes,Female,Junior,OTH,1,1,1,1,0,0,1,1,1,122
1 to 2 times,Light user,$5 to $9,4,3,3,4,3,4,1,4,2,5,Burgers,Commuter,No,Male,Junior,EDUC,0,0,1,0,1,0,1,0,1,123
1 to 2 times,Light user,$10 or more,4,4,3,3,4,3,3,5,3,3,Mexican,On-Campus,Yes,Female,Sophomore,BUSN,1,0,0,1,0,0,1,0,0,124
1 to 2 times,Light user,$5 to $9,4,3,3,3,3,3,3,3,3,3,Mexican,On-Campus,Yes,Male,Junior,OTH,0,0,0,0,0,0,0,0,0,125
6 to 9 times,Heavy User,$5 to $9,4,4,3,4,5,3,1,5,3,4,Burgers,On-Campus,Yes,Female,Sophomore,OTH,1,0,1,1,0,0,1,0,1,126
1 to 2 times,Light user,$10 or more,1,4,3,4,1,3,4,3,4,2,Mexican,Off-Campus,No,Female,Senior,OTH,1,0,1,0,0,1,0,1,0,127
1 to 2 times,Light user,$5 to $9,6,4,3,2,3,3,3,3,3,2,Mexican,Off-Campus,No,Male,Senior,BUSN,1,0,0,0,0,0,0,0,0,128
1 to 2 times,Light user,$5 to $9,2,5,4,5,4,3,3,4,3,4,Other,On-Campus,Yes,Female,Sophomore,BUSN,1,1,1,1,0,0,1,0,1,129
3 to 5 times,Heavy User,Less than $5,5,3,3,3,4,4,2,4,2,4,Mexican,On-Campus,Yes,Female,Junior,OTH,0,0,0,1,1,0,1,0,1,130
0 times,Non-user,Less than $5,7,4,5,5,4,5,5,5,4,3,Mexican,Off-Campus,No,Female,Senior,OTH,1,1,1,1,1,1,1,1,0,131
1 to 2 times,Light user,$5 to $9,4,3,5,4,4,3,2,3,4,3,Mexican,On-Campus,Yes,Female,Senior,EDUC,0,1,1,1,0,0,0,1,0,132
0 times,Non-user,$5 to $9,6,5,3,4,4,4,5,3,4,4,Mexican,Off-Campus,No,Female,Senior,EDUC,1,0,1,1,1,1,0,1,1,133
3 to 5 times,Heavy User,$5 to $9,6,2,2,4,5,3,1,3,1,4,Mexican,Off-Campus,No,Male,Senior,EDUC,0,0,1,1,0,0,0,0,1,134
1 to 2 times,Light user,$10 or more,7,3,4,4,4,4,5,5,3,4,Mexican,On-Campus,Yes,Female,Sophomore,OTH,0,1,1,1,1,1,1,0,1,135
6 to 9 times,Heavy User,$10 or more,4,5,2,4,4,4,1,3,2,3,Mexican,Off-Campus,Yes,Male,Freshman,EDUC,1,0,1,1,1,0,0,0,0,136
0 times,Non-user,$10 or more,5,5,3,5,5,5,5,4,3,4,Mexican,Off-Campus,No,Female,Senior,BUSN,1,0,1,1,1,1,1,0,1,137
1 to 2 times,Light user,$5 to $9,2,4,5,5,2,4,3,4,3,5,Burgers,Off-Campus,No,Male,Senior,BUSN,1,1,1,0,1,0,1,0,1,138
1 to 2 times,Light user,$10 or more,4,2,1,4,3,3,1,3,2,4,Mexican,On-Campus,Yes,Female,Freshman,EDUC,0,0,1,0,0,0,0,0,1,139
1 to 2 times,Light user,$5 to $9,7,5,4,5,5,4,3,4,5,5,Mexican,On-Campus,Yes,Male,Sophomore,OTH,1,1,1,1,1,0,1,1,1,140
1 to 2 times,Light user,$5 to $9,1,4,2,4,4,2,2,4,3,2,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,0,1,1,0,0,1,0,0,141
1 to 2 times,Light user,$10 or more,1,5,5,5,4,5,5,3,5,3,Mexican,Off-Campus,No,Female,Junior,EDUC,1,1,1,1,1,1,0,1,0,142
3 to 5 times,Heavy User,$5 to $9,4,5,3,5,4,3,5,4,4,3,Mexican,On-Campus,Yes,Female,Freshman,OTH,1,0,1,1,0,1,1,1,0,143
3 to 5 times,Heavy User,$10 or more,7,5,3,5,5,4,3,5,4,4,Burgers,Off-Campus,No,Male,Senior,ARTSC,1,0,1,1,1,0,1,1,1,144
1 to 2 times,Light user,$5 to $9,4,5,3,5,4,5,3,5,4,5,Mexican,Off-Campus,No,Female,Senior,ARTSC,1,0,1,1,1,0,1,1,1,145
3 to 5 times,Heavy User,$10 or more,5,4,3,4,4,4,3,4,3,4,Mexican,Off-Campus,No,Male,Junior,EDUC,1,0,1,1,1,0,1,0,1,146
0 times,Non-user,$5 to $9,1,4,4,5,4,4,4,4,4,4,Mexican,On-Campus,Yes,Female,Sophomore,OTH,1,1,1,1,1,1,1,1,1,147
1 to 2 times,Light user,$5 to $9,4,4,3,5,3,4,3,4,3,2,Mexican,Off-Campus,No,Male,Senior,BUSN,1,0,1,0,1,0,1,0,0,148
0 times,Non-user,Less than $5,4,3,2,4,5,3,3,4,4,4,Burgers,On-Campus,Yes,Male,Junior,OTH,0,0,1,1,0,0,1,1,1,149
0 times,Non-user,$5 to $9,5,4,3,4,3,4,3,5,4,3,Mexican,On-Campus,Yes,Male,Senior,ARTSC,1,0,1,0,1,0,1,1,0,150
1 to 2 times,Light user,$10 or more,4,5,3,4,4,3,3,3,4,3,Mexican,On-Campus,Yes,Female,Senior,EDUC,1,0,1,1,0,0,0,1,0,151
1 to 2 times,Light user,$10 or more,4,5,4,5,3,4,3,5,4,4,Mexican,On-Campus,Yes,Female,Junior,EDUC,1,1,1,0,1,0,1,1,1,152
