id,rest,taste,speed,value,variety,clean,conv,healthy,pref
1,Wendy's,1,3,1,5,2,5,4,5
1,Taco Bell,3,5,2,5,3,5,2,3
1,McDonald's,2,4,4,5,3,5,4,4
1,Jimmy John's,2,5,1,5,5,5,5,5
1,Subway,2,3,1,5,5,3,5,4
1,Mr. Spots,3,2,4,5,3,3,2,2
1,Chipotle,1,1,4,5,5,5,5,3
1,Qdoba,1,4,1,5,5,3,5,5
2,Wendy's,4,5,4,4,4,5,4,4
2,Taco Bell,5,5,5,5,3,5,3,5
2,McDonald's,4,5,5,4,4,5,2,4
2,Jimmy John's,2,5,2,5,4,4,3,3
2,Subway,5,5,4,5,4,3,4,4
2,Mr. Spots,4,4,3,4,4,2,3,3
2,Chipotle,5,5,5,5,5,5,4,5
2,Qdoba,3,5,3,5,5,2,4,3
3,Wendy's,3,4,4,5,3,4,2,3
3,Taco Bell,2,5,3,4,3,5,2,1
3,McDonald's,3,4,5,3,3,4,2,2
3,Jimmy John's,5,5,5,4,4,5,5,5
3,Subway,4,4,3,5,4,2,5,2
3,Mr. Spots,3,3,4,3,3,3,4,2
3,Chipotle,4,5,5,4,4,5,5,5
3,Qdoba,5,5,5,4,4,3,5,5
4,Wendy's,4,4,4,3,4,5,4,4
4,Taco Bell,4,5,5,3,3,4,1,4
4,McDonald's,2,3,5,4,2,5,1,4
4,Jimmy John's,4,3,3,3,4,2,4,3
4,Subway,5,4,5,3,3,3,5,5
4,Mr. Spots,5,4,5,4,5,3,2,5
4,Chipotle,5,3,3,2,5,2,5,3
4,Qdoba,5,4,5,3,4,3,4,5
5,Wendy's,5,5,5,5,5,5,4,5
5,Taco Bell,5,4,5,5,4,5,2,5
5,McDonald's,4,5,5,5,3,5,1,3
5,Jimmy John's,5,5,3,5,4,5,5,4
5,Subway,4,5,4,5,3,5,5,3
5,Mr. Spots,3,3,3,3,3,1,3,1
5,Chipotle,5,4,2,5,5,5,5,5
5,Qdoba,3,3,3,4,4,3,4,1
6,Wendy's,4,3,4,4,4,5,2,4
6,Taco Bell,4,3,3,4,4,5,1,4
6,McDonald's,4,3,4,4,4,5,1,4
6,Jimmy John's,5,5,4,4,3,5,2,4
6,Subway,5,3,4,4,3,4,2,4
6,Mr. Spots,5,4,4,4,4,4,2,3
6,Chipotle,3,4,4,4,4,5,3,1
6,Qdoba,5,3,3,4,3,4,3,3
7,Wendy's,3,5,3,3,4,4,3,3
7,Taco Bell,4,4,4,5,4,5,4,4
7,McDonald's,2,2,3,1,3,4,1,2
7,Jimmy John's,1,1,1,1,1,5,1,1
7,Subway,1,1,1,1,1,1,1,1
7,Mr. Spots,2,2,1,1,2,5,1,1
7,Chipotle,4,2,4,2,4,4,4,4
7,Qdoba,4,5,4,3,4,5,4,4
8,Wendy's,4,4,4,4,4,4,3,4
8,Taco Bell,4,4,4,4,3,5,2,4
8,McDonald's,4,3,4,4,4,4,3,4
8,Jimmy John's,4,4,4,3,4,3,4,4
8,Subway,5,4,4,4,4,3,4,4
8,Mr. Spots,3,3,3,3,3,3,3,3
8,Chipotle,5,2,5,4,3,4,4,4
8,Qdoba,3,3,3,3,4,2,3,3
9,Wendy's,4,3,4,4,3,3,4,2
9,Taco Bell,3,3,3,4,4,2,3,2
9,McDonald's,1,2,3,2,1,3,3,4
9,Jimmy John's,1,1,3,3,2,1,2,5
9,Subway,3,2,4,4,4,3,2,1
9,Mr. Spots,4,4,4,5,4,4,4,1
9,Chipotle,4,3,4,5,4,3,3,2
9,Qdoba,3,3,2,3,3,4,3,3
10,Wendy's,3,3,3,3,3,5,3,3
10,Taco Bell,1,3,2,3,3,5,3,3
10,McDonald's,3,3,2,4,3,5,3,3
10,Jimmy John's,3,5,3,3,4,5,3,3
10,Subway,4,4,3,3,3,5,5,4
10,Mr. Spots,4,4,4,4,3,5,3,3
10,Chipotle,4,4,4,3,3,5,3,4
10,Qdoba,5,4,4,4,4,5,4,4
11,Wendy's,3,3,5,5,4,5,2,4
11,Taco Bell,1,3,5,3,5,4,1,1
11,McDonald's,1,4,5,4,4,2,2,2
11,Jimmy John's,5,5,4,2,2,4,3,5
11,Subway,4,1,5,1,4,2,5,3
11,Mr. Spots,3,2,2,3,4,3,2,3
11,Chipotle,5,1,2,2,3,2,4,5
11,Qdoba,1,3,2,2,3,3,1,2
12,Wendy's,4,3,3,4,2,5,2,4
12,Taco Bell,2,4,5,3,1,4,1,3
12,McDonald's,2,5,5,3,1,5,1,3
12,Jimmy John's,3,5,5,2,3,3,5,2
12,Subway,5,5,4,3,3,4,5,5
12,Mr. Spots,4,3,4,4,4,3,2,4
12,Chipotle,3,5,3,3,3,4,3,2
12,Qdoba,3,3,3,3,4,3,3,2
13,Wendy's,4,3,3,5,2,5,2,3
13,Taco Bell,5,4,5,4,3,5,3,5
13,McDonald's,5,3,4,5,2,5,2,5
13,Jimmy John's,3,5,2,3,5,4,4,2
13,Subway,3,4,3,3,2,3,4,3
13,Mr. Spots,3,3,3,4,4,1,1,2
13,Chipotle,5,3,2,3,4,4,4,5
13,Qdoba,4,4,2,3,5,1,4,4
14,Wendy's,4,5,4,4,3,5,3,4
14,Taco Bell,4,4,3,4,3,4,1,4
14,McDonald's,1,3,2,3,4,5,1,1
14,Jimmy John's,5,5,5,5,5,1,4,5
14,Subway,3,4,3,3,4,2,4,1
14,Mr. Spots,3,3,3,3,4,1,3,1
14,Chipotle,5,5,4,4,5,5,3,5
14,Qdoba,3,4,4,4,5,3,5,3
15,Wendy's,3,4,5,4,4,3,1,2
15,Taco Bell,4,3,4,4,2,4,1,3
15,McDonald's,2,3,5,4,4,3,1,1
15,Jimmy John's,4,5,2,2,4,4,3,5
15,Subway,2,2,2,3,3,3,3,2
15,Mr. Spots,5,2,3,5,3,3,3,5
15,Chipotle,2,3,3,2,3,3,4,2
15,Qdoba,4,3,2,3,3,3,4,5
16,Wendy's,1,4,3,3,4,4,2,2
16,Taco Bell,1,4,2,4,3,4,1,1
16,McDonald's,4,5,4,4,4,5,2,5
16,Jimmy John's,1,5,4,3,4,4,5,1
16,Subway,3,4,4,4,4,5,5,3
16,Mr. Spots,4,2,2,2,4,1,2,4
16,Chipotle,4,3,4,3,4,4,5,5
16,Qdoba,1,4,2,4,4,1,4,2
17,Wendy's,5,3,3,5,5,5,3,4
17,Taco Bell,5,5,5,5,5,5,3,5
17,McDonald's,5,5,5,5,5,5,3,5
17,Jimmy John's,5,5,4,3,5,5,4,4
17,Subway,5,5,5,5,5,5,5,4
17,Mr. Spots,5,5,3,4,5,3,3,4
17,Chipotle,1,1,1,1,1,3,1,1
17,Qdoba,5,4,4,5,5,3,3,4
18,Wendy's,3,5,2,4,3,2,2,3
18,Taco Bell,2,3,2,3,1,5,1,1
18,McDonald's,3,5,5,4,3,2,2,3
18,Jimmy John's,4,5,3,3,4,5,5,3
18,Subway,3,3,4,3,3,3,5,2
18,Mr. Spots,5,2,4,5,5,5,4,5
18,Chipotle,4,3,5,3,4,2,5,4
18,Qdoba,5,4,5,5,5,4,5,5
19,Wendy's,5,3,3,4,3,5,4,4
19,Taco Bell,4,3,3,4,3,3,2,3
19,McDonald's,4,4,3,4,3,5,4,1
19,Jimmy John's,4,5,4,4,4,5,5,2
19,Subway,4,4,3,5,3,2,5,2
19,Mr. Spots,5,4,5,4,4,4,3,4
19,Chipotle,5,4,5,3,4,5,5,5
19,Qdoba,5,5,4,5,4,4,4,4
20,Wendy's,3,4,4,4,4,4,3,3
20,Taco Bell,4,4,3,4,4,3,1,4
20,McDonald's,3,5,4,5,4,5,2,3
20,Jimmy John's,4,5,3,3,5,4,4,4
20,Subway,3,4,3,5,4,3,4,2
20,Mr. Spots,4,3,4,3,5,2,3,2
20,Chipotle,4,4,4,3,5,5,4,4
20,Qdoba,4,4,5,4,5,3,4,5
21,Wendy's,4,4,3,4,3,4,3,3
21,Taco Bell,2,3,3,5,4,5,2,2
21,McDonald's,3,3,4,5,3,4,1,3
21,Jimmy John's,1,3,2,4,5,3,3,1
21,Subway,1,2,1,5,1,5,3,1
21,Mr. Spots,5,2,5,2,3,2,2,5
21,Chipotle,5,4,5,4,2,4,4,5
21,Qdoba,2,3,2,3,3,4,2,3
22,Wendy's,4,4,3,3,3,4,2,3
22,Taco Bell,4,5,5,4,3,5,1,4
22,McDonald's,3,4,4,4,4,4,2,3
22,Jimmy John's,4,5,4,2,4,5,4,4
22,Subway,4,4,4,4,3,4,4,3
22,Mr. Spots,5,4,3,3,4,4,2,5
22,Chipotle,3,4,1,3,4,4,4,1
22,Qdoba,3,4,3,3,3,3,4,2
23,Wendy's,3,1,5,4,3,4,3,3
23,Taco Bell,2,4,4,4,3,3,2,2
23,McDonald's,3,3,5,4,4,4,3,4
23,Jimmy John's,4,5,3,3,4,2,3,2
23,Subway,4,4,4,4,5,4,4,3
23,Mr. Spots,4,4,3,4,4,2,3,1
23,Chipotle,4,4,4,3,4,4,3,5
23,Qdoba,4,4,2,3,5,2,3,1
24,Wendy's,5,4,5,1,5,4,2,5
24,Taco Bell,2,4,2,1,4,3,1,1
24,McDonald's,4,5,2,2,2,5,1,3
24,Jimmy John's,3,3,3,3,4,2,1,1
24,Subway,2,5,3,3,5,3,2,3
24,Mr. Spots,3,3,3,4,3,2,4,5
24,Chipotle,5,5,5,3,4,2,4,5
24,Qdoba,5,5,5,3,4,2,4,5
25,Wendy's,4,4,3,3,3,4,3,4
25,Taco Bell,3,3,2,3,3,4,1,1
25,McDonald's,3,4,4,3,2,4,2,3
25,Jimmy John's,3,5,5,3,3,4,4,3
25,Subway,3,3,4,3,3,3,4,2
25,Mr. Spots,3,2,5,3,3,3,3,3
25,Chipotle,5,4,5,4,5,5,4,5
25,Qdoba,3,3,3,3,3,2,4,3
26,Wendy's,3,5,3,4,3,4,2,3
26,Taco Bell,2,5,3,4,3,4,2,2
26,McDonald's,1,5,3,4,3,4,2,2
26,Jimmy John's,4,5,4,2,4,4,3,4
26,Subway,4,5,4,4,4,4,3,5
26,Mr. Spots,3,3,4,3,4,3,2,3
26,Chipotle,3,4,3,3,4,4,3,3
26,Qdoba,3,4,4,3,4,3,2,3
27,Wendy's,5,3,5,5,3,5,3,5
27,Taco Bell,2,2,3,1,2,3,1,3
27,McDonald's,3,3,2,1,4,5,2,2
27,Jimmy John's,5,5,5,4,4,3,5,5
27,Subway,4,3,4,3,4,1,5,4
27,Mr. Spots,2,2,2,2,2,2,3,2
27,Chipotle,5,3,5,5,4,5,5,5
27,Qdoba,2,2,2,2,2,2,2,2
28,Wendy's,5,4,4,5,4,4,3,5
28,Taco Bell,5,5,5,4,3,5,3,5
28,McDonald's,5,5,5,4,4,5,2,5
28,Jimmy John's,5,4,4,5,5,5,3,5
28,Subway,4,4,3,3,4,4,4,4
28,Mr. Spots,3,3,3,3,3,3,3,3
28,Chipotle,5,3,4,2,5,4,5,5
28,Qdoba,3,2,3,4,3,3,3,3
29,Wendy's,5,3,4,4,3,5,3,4
29,Taco Bell,4,3,5,4,3,5,3,4
29,McDonald's,4,2,5,4,2,5,2,3
29,Jimmy John's,4,5,4,3,3,4,4,3
29,Subway,4,3,4,4,3,5,5,3
29,Mr. Spots,5,3,3,4,4,3,2,4
29,Chipotle,5,2,3,4,3,5,3,5
29,Qdoba,3,4,3,4,4,3,4,1
30,Wendy's,5,4,4,5,4,5,3,5
30,Taco Bell,5,5,4,5,2,4,2,5
30,McDonald's,1,4,3,5,4,5,3,1
30,Jimmy John's,3,5,2,4,3,4,3,1
30,Subway,5,5,4,4,4,5,5,3
30,Mr. Spots,3,3,3,3,3,4,2,2
30,Chipotle,5,5,4,4,5,5,5,5
30,Qdoba,4,4,4,4,4,4,5,3
31,Wendy's,4,5,2,4,2,5,2,3
31,Taco Bell,1,3,1,4,2,5,1,1
31,McDonald's,2,3,1,5,3,5,2,1
31,Jimmy John's,5,5,5,5,5,5,5,5
31,Subway,4,4,4,5,4,5,5,4
31,Mr. Spots,3,3,3,3,3,5,3,1
31,Chipotle,5,3,5,4,3,5,5,5
31,Qdoba,1,3,3,3,3,5,3,1
32,Wendy's,3,4,3,4,3,4,2,3
32,Taco Bell,3,4,3,4,3,5,2,2
32,McDonald's,2,3,2,3,3,4,2,1
32,Jimmy John's,3,4,3,4,4,4,4,3
32,Subway,5,3,4,5,4,5,5,5
32,Mr. Spots,3,3,3,3,3,4,3,3
32,Chipotle,5,5,5,4,5,4,5,5
32,Qdoba,4,4,3,4,4,4,4,3
33,Wendy's,4,4,4,5,5,4,3,4
33,Taco Bell,4,4,4,5,5,5,2,4
33,McDonald's,4,4,4,4,5,4,3,4
33,Jimmy John's,4,5,5,5,5,5,4,5
33,Subway,4,3,4,4,5,5,5,4
33,Mr. Spots,3,3,3,3,3,3,3,3
33,Chipotle,5,3,5,5,5,4,4,5
33,Qdoba,4,4,5,5,5,4,3,5
34,Wendy's,3,3,4,4,3,4,2,3
34,Taco Bell,3,2,2,3,3,5,1,2
34,McDonald's,4,1,2,3,4,4,1,2
34,Jimmy John's,5,5,5,4,4,5,5,5
34,Subway,5,4,4,5,4,3,4,5
34,Mr. Spots,5,4,5,5,4,4,3,5
34,Chipotle,5,5,5,5,4,3,4,4
34,Qdoba,3,4,3,3,3,1,4,1
35,Wendy's,4,4,3,3,2,2,3,4
35,Taco Bell,2,4,4,3,1,5,1,1
35,McDonald's,4,4,3,3,2,3,1,2
35,Jimmy John's,2,5,5,3,4,5,3,2
35,Subway,4,3,3,2,3,3,5,3
35,Mr. Spots,3,3,3,3,3,5,1,3
35,Chipotle,5,3,4,2,3,2,4,5
35,Qdoba,3,3,3,2,3,2,4,3
36,Wendy's,3,3,4,4,2,4,2,4
36,Taco Bell,2,4,5,5,2,4,1,3
36,McDonald's,3,4,4,4,2,4,1,4
36,Jimmy John's,4,5,3,3,4,3,3,4
36,Subway,3,2,3,4,1,4,3,3
36,Mr. Spots,3,2,3,3,3,2,2,2
36,Chipotle,5,3,3,2,4,4,3,5
36,Qdoba,3,3,3,2,3,2,2,2
37,Wendy's,4,3,4,4,4,2,4,4
37,Taco Bell,5,5,5,5,4,5,2,5
37,McDonald's,2,2,5,3,2,3,3,2
37,Jimmy John's,3,2,2,3,4,5,3,1
37,Subway,5,5,4,4,4,5,5,5
37,Mr. Spots,2,2,2,2,2,2,3,2
37,Chipotle,3,4,3,3,3,2,2,4
37,Qdoba,3,2,2,2,2,2,4,1
38,Wendy's,4,3,3,2,4,3,3,4
38,Taco Bell,4,5,5,2,5,4,2,5
38,McDonald's,3,4,4,3,5,5,3,3
38,Jimmy John's,3,5,3,1,5,1,4,2
38,Subway,2,2,2,3,5,2,5,2
38,Mr. Spots,5,5,2,2,5,2,2,5
38,Chipotle,4,2,2,2,5,3,4,2
38,Qdoba,5,3,3,2,5,5,3,5
39,Wendy's,5,3,4,4,3,4,2,5
39,Taco Bell,4,4,3,3,4,5,3,4
39,McDonald's,2,5,2,4,2,4,1,1
39,Jimmy John's,3,5,3,2,4,3,4,3
39,Subway,3,3,2,4,3,4,4,2
39,Mr. Spots,4,2,1,2,3,2,2,1
39,Chipotle,5,1,4,3,4,2,2,5
39,Qdoba,4,4,4,3,4,2,4,5
40,Wendy's,4,4,4,3,3,5,2,3
40,Taco Bell,4,5,5,3,3,3,1,3
40,McDonald's,2,3,4,4,3,5,1,2
40,Jimmy John's,4,5,3,3,4,4,4,5
40,Subway,3,3,2,4,4,3,4,4
40,Mr. Spots,3,3,3,3,3,2,3,2
40,Chipotle,5,4,4,3,5,3,4,5
40,Qdoba,3,3,2,4,4,2,3,4
